Port,Constraint,Budget,Edge,Clock,Slack,AvailTime,Exception
input1[17],set_input_delay,-0.022,fall,clk_v0_setuphold,0.398,-0.933,
input1[16],set_input_delay,-0.014,rise,clk_v0_setuphold,0.344,-0.899,
input1[16],set_input_delay,-0.025,fall,clk_v0_setuphold,0.415,-0.932,
input1[15],set_input_delay,-0.014,rise,clk_v0_setuphold,0.327,-0.899,
input1[15],set_input_delay,-0.023,fall,clk_v0_setuphold,0.409,-0.928,
input1[14],set_input_delay,-0.013,rise,clk_v0_setuphold,0.297,-0.899,
input1[14],set_input_delay,-0.021,fall,clk_v0_setuphold,0.362,-0.931,
input1[13],set_input_delay,-0.013,rise,clk_v0_setuphold,0.303,-0.899,
input1[13],set_input_delay,-0.021,fall,clk_v0_setuphold,0.362,-0.930,
input1[12],set_input_delay,-0.013,rise,clk_v0_setuphold,0.294,-0.899,
input1[12],set_input_delay,-0.020,fall,clk_v0_setuphold,0.358,-0.928,
input1[11],set_input_delay,-0.013,rise,clk_v0_setuphold,0.298,-0.899,
input1[11],set_input_delay,-0.021,fall,clk_v0_setuphold,0.359,-0.929,
input1[10],set_input_delay,-0.013,rise,clk_v0_setuphold,0.305,-0.899,
input1[10],set_input_delay,-0.020,fall,clk_v0_setuphold,0.365,-0.929,
input1[9],set_input_delay,-0.013,rise,clk_v0_setuphold,0.335,-0.899,
input1[9],set_input_delay,-0.021,fall,clk_v0_setuphold,0.386,-0.933,
input1[8],set_input_delay,-0.012,rise,clk_v0_setuphold,0.302,-0.898,
input1[8],set_input_delay,-0.022,fall,clk_v0_setuphold,0.372,-0.936,
input1[7],set_input_delay,-0.013,rise,clk_v0_setuphold,0.289,-0.899,
input1[7],set_input_delay,-0.020,fall,clk_v0_setuphold,0.361,-0.928,
input1[6],set_input_delay,-0.013,rise,clk_v0_setuphold,0.298,-0.899,
input1[6],set_input_delay,-0.020,fall,clk_v0_setuphold,0.364,-0.929,
input1[5],set_input_delay,-0.013,rise,clk_v0_setuphold,0.283,-0.899,
input1[5],set_input_delay,-0.021,fall,clk_v0_setuphold,0.352,-0.929,
input1[4],set_input_delay,-0.013,rise,clk_v0_setuphold,0.285,-0.899,
input1[4],set_input_delay,-0.021,fall,clk_v0_setuphold,0.352,-0.929,
input1[3],set_input_delay,-0.013,rise,clk_v0_setuphold,0.326,-0.899,
input1[3],set_input_delay,-0.022,fall,clk_v0_setuphold,0.383,-0.932,
input1[2],set_input_delay,-0.013,rise,clk_v0_setuphold,0.305,-0.899,
input1[2],set_input_delay,-0.021,fall,clk_v0_setuphold,0.368,-0.929,
input1[1],set_input_delay,-0.012,rise,clk_v0_setuphold,0.321,-0.899,
input1[1],set_input_delay,-0.022,fall,clk_v0_setuphold,0.386,-0.934,
input1[0],set_input_delay,-0.011,rise,clk_v0_setuphold,0.304,-0.895,
input1[0],set_input_delay,-0.023,fall,clk_v0_setuphold,0.376,-0.938,
